File Name,Rule Title,Rule ID,Rule Description,Chinese Title,Chinese Description,Level,References,Tags,Logsource,Fields,FalsePositive,Error Translation,Detection,SPL Query
proc_creation_lnx_security_tools_disabling.yml,Disabling Security Tools,e3a8a052-111f-4606-9aee-f28ebeb76776,Detects disabling security tools,禁用安全工具,检测禁用安全工具,medium,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1562.004/T1562.004.md,"attack.defense_evasion, attack.t1562.004","product: linux, service: None",,['Legitimate administration activities'],,"{'selection_iptables_1': {'Image|endswith': '/service', 'CommandLine|contains|all': ['iptables', 'stop']}, 'selection_iptables_2': {'Image|endswith': '/service', 'CommandLine|contains|all': ['ip6tables', 'stop']}, 'selection_iptables_3': {'Image|endswith': '/chkconfig', 'CommandLine|contains|all': ['iptables', 'stop']}, 'selection_iptables_4': {'Image|endswith': '/chkconfig', 'CommandLine|contains|all': ['ip6tables', 'stop']}, 'selection_firewall_1': {'Image|endswith': '/systemctl', 'CommandLine|contains|all': ['firewalld', 'stop']}, 'selection_firewall_2': {'Image|endswith': '/systemctl', 'CommandLine|contains|all': ['firewalld', 'disable']}, 'selection_carbonblack_1': {'Image|endswith': '/service', 'CommandLine|contains|all': ['cbdaemon', 'stop']}, 'selection_carbonblack_2': {'Image|endswith': '/chkconfig', 'CommandLine|contains|all': ['cbdaemon', 'off']}, 'selection_carbonblack_3': {'Image|endswith': '/systemctl', 'CommandLine|contains|all': ['cbdaemon', 'stop']}, 'selection_carbonblack_4': {'Image|endswith': '/systemctl', 'CommandLine|contains|all': ['cbdaemon', 'disable']}, 'selection_selinux': {'Image|endswith': '/setenforce', 'CommandLine|contains': '0'}, 'selection_crowdstrike_1': {'Image|endswith': '/systemctl', 'CommandLine|contains|all': ['stop', 'falcon-sensor']}, 'selection_crowdstrike_2': {'Image|endswith': '/systemctl', 'CommandLine|contains|all': ['disable', 'falcon-sensor']}, 'condition': '1 of selection*'}","(Image=""*/service"" CommandLine=""*iptables*"" CommandLine=""*stop*"") OR (Image=""*/service"" CommandLine=""*ip6tables*"" CommandLine=""*stop*"") OR (Image=""*/chkconfig"" CommandLine=""*iptables*"" CommandLine=""*stop*"") OR (Image=""*/chkconfig"" CommandLine=""*ip6tables*"" CommandLine=""*stop*"") OR (Image=""*/systemctl"" CommandLine=""*firewalld*"" CommandLine=""*stop*"") OR (Image=""*/systemctl"" CommandLine=""*firewalld*"" CommandLine=""*disable*"") OR (Image=""*/service"" CommandLine=""*cbdaemon*"" CommandLine=""*stop*"") OR (Image=""*/chkconfig"" CommandLine=""*cbdaemon*"" CommandLine=""*off*"") OR (Image=""*/systemctl"" CommandLine=""*cbdaemon*"" CommandLine=""*stop*"") OR (Image=""*/systemctl"" CommandLine=""*cbdaemon*"" CommandLine=""*disable*"") OR (Image=""*/setenforce"" CommandLine=""*0*"") OR (Image=""*/systemctl"" CommandLine=""*stop*"" CommandLine=""*falcon-sensor*"") OR (Image=""*/systemctl"" CommandLine=""*disable*"" CommandLine=""*falcon-sensor*"")"
proc_creation_lnx_local_groups.yml,Local Groups Discovery - Linux,676381a6-15ca-4d73-a9c8-6a22e970b90d,Detects enumeration of local system groups. Adversaries may attempt to find local system groups and permission settings,本地团体发现-Linux,检测本地系统组的枚举。对手可能会尝试找到本地系统组和权限设置,low,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1069.001/T1069.001.md,"attack.discovery, attack.t1069.001","product: linux, service: None",,['Legitimate administration activities'],,"{'selection_1': {'Image|endswith': '/groups'}, 'selection_2': {'Image|endswith': ['/cat', '/head', '/tail', '/more'], 'CommandLine|contains': '/etc/group'}, 'condition': '1 of selection*'}","Image=""*/groups"" OR (Image IN (""*/cat"", ""*/head"", ""*/tail"", ""*/more"") CommandLine=""*/etc/group*"")"
proc_creation_lnx_system_network_connections_discovery.yml,System Network Connections Discovery - Linux,4c519226-f0cd-4471-bd2f-6fbb2bb68a79,Detects usage of system utilities to discover system network connections,系统网络连接发现-Linux,检测系统实用程序以发现系统网络连接的使用,low,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1049/T1049.md,"attack.discovery, attack.t1049","product: linux, service: None",,['Legitimate activities'],,"{'selection': {'Image|endswith': ['/who', '/w', '/last', '/lsof', '/netstat']}, 'filter_landscape_sysinfo': {'ParentCommandLine|contains': '/usr/bin/landscape-sysinfo', 'Image|endswith': '/who'}, 'condition': 'selection and not 1 of filter_*'}","Image IN (""*/who"", ""*/w"", ""*/last"", ""*/lsof"", ""*/netstat"") NOT (ParentCommandLine=""*/usr/bin/landscape-sysinfo*"" Image=""*/who"")"
proc_creation_lnx_crontab_removal.yml,Remove Scheduled Cron Task/Job,c2e234de-03a3-41e1-b39a-1e56dc17ba67,"Detects usage of the 'crontab' utility to remove the current crontab.
This is a common occurrence where cryptocurrency miners compete against each other by removing traces of other miners to hijack the maximum amount of resources possible
",删除预定的cron任务/作业,"检测使用“ crontab”实用程序以删除当前的crontab。
这是一个常见的情况，加密货币矿工通过删除其他矿工的痕迹来劫持可能的最大资源数量，从而相互竞争",medium,https://www.trendmicro.com/en_us/research/22/i/how-malicious-actors-abuse-native-linux-tools-in-their-attacks.html,attack.defense_evasion,"product: linux, service: None",,['Unknown'],,"{'selection': {'Image|endswith': 'crontab', 'CommandLine|contains': ' -r'}, 'condition': 'selection'}","Image=""*crontab"" CommandLine=""* -r*"""
proc_creation_lnx_pnscan_binary_cli_pattern.yml,Pnscan Binary Data Transmission Activity,97de11cd-4b67-4abf-9a8b-1020e670aa9e,"Detects command line patterns associated with the use of Pnscan for sending and receiving binary data across the network.
This behavior has been identified in a Linux malware campaign targeting Docker, Apache Hadoop, Redis, and Confluence and was previously used by the threat actor known as TeamTNT
",PNSCAN二元数据传输活动,"检测与使用PNSCAN在整个网络上发送和接收二进制数据相关的命令行模式。
该行为已在针对Docker，Apache Hadoop，Redis和Confluence的Linux恶意软件活动中确定",medium,"https://www.cadosecurity.com/blog/spinning-yarn-a-new-linux-malware-campaign-targets-docker-apache-hadoop-redis-and-confluence, https://intezer.com/wp-content/uploads/2021/09/TeamTNT-Cryptomining-Explosion.pdf, https://regex101.com/r/RugQYK/1, https://www.virustotal.com/gui/file/beddf70a7bab805f0c0b69ac0989db6755949f9f68525c08cb874988353f78a9/content","attack.discovery, attack.t1046","product: linux, service: None",,['Unknown'],,"{'selection': {'CommandLine|re': '-(W|R)\\s?(\\s|""|\')([0-9a-fA-F]{2}\\s?){2,20}(\\s|""|\')'}, 'condition': 'selection'}","*
| regex CommandLine=""-(W|R)\\s?(\\s|\""|')([0-9a-fA-F]{2}\\s?){2,20}(\\s|\""|')"""
proc_creation_lnx_crontab_enumeration.yml,Crontab Enumeration,403ed92c-b7ec-4edd-9947-5b535ee12d46,Detects usage of crontab to list the tasks of the user,克朗塔布枚举,检测Crontab的用法以列出用户的任务,low,"https://blogs.jpcert.or.jp/en/2023/05/gobrat.html, https://jstnk9.github.io/jstnk9/research/GobRAT-Malware/, https://www.virustotal.com/gui/file/60bcd645450e4c846238cf0e7226dc40c84c96eba99f6b2cffcd0ab4a391c8b3/detection, https://www.virustotal.com/gui/file/3e44c807a25a56f4068b5b8186eee5002eed6f26d665a8b791c472ad154585d1/detection","attack.discovery, attack.t1007","product: linux, service: None",,['Legitimate use of crontab'],,"{'selection': {'Image|endswith': '/crontab', 'CommandLine|contains': ' -l'}, 'condition': 'selection'}","Image=""*/crontab"" CommandLine=""* -l*"""
proc_creation_lnx_susp_execution_tmp_folder.yml,Potentially Suspicious Execution From Tmp Folder,312b42b1-bded-4441-8b58-163a3af58775,Detects a potentially suspicious execution of a process located in the '/tmp/' folder,从TMP文件夹中可能可疑执行,检测到'/tmp/'文件夹中的过程的潜在可疑执行,high,"https://blogs.jpcert.or.jp/en/2023/05/gobrat.html, https://jstnk9.github.io/jstnk9/research/GobRAT-Malware/, https://www.virustotal.com/gui/file/60bcd645450e4c846238cf0e7226dc40c84c96eba99f6b2cffcd0ab4a391c8b3/detection, https://www.virustotal.com/gui/file/3e44c807a25a56f4068b5b8186eee5002eed6f26d665a8b791c472ad154585d1/detection","attack.defense_evasion, attack.t1036","product: linux, service: None",,['Unknown'],,"{'selection': {'Image|startswith': '/tmp/'}, 'condition': 'selection'}","Image=""/tmp/*"""
proc_creation_lnx_doas_execution.yml,Linux Doas Tool Execution,067d8238-7127-451c-a9ec-fa78045b618b,"Detects the doas tool execution in linux host platform. This utility tool allow standard users to perform tasks as root, the same way sudo does.",Linux DOAS工具执行,在Linux主机平台中检测DOAS工具执行。该实用程序工具允许标准用户像苏多一样执行任务作为root。,low,"https://research.splunk.com/endpoint/linux_doas_tool_execution/, https://www.makeuseof.com/how-to-install-and-use-doas/","attack.privilege_escalation, attack.t1548","product: linux, service: None",,['Unlikely'],,"{'selection': {'Image|endswith': '/doas'}, 'condition': 'selection'}","Image=""*/doas"""
proc_creation_lnx_install_root_certificate.yml,Install Root Certificate,78a80655-a51e-4669-bc6b-e9d206a462ee,Detects installation of new certificate on the system which attackers may use to avoid warnings when connecting to controlled web servers or C2s,安装根证书,检测系统上新证书的安装,low,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1553.004/T1553.004.md,"attack.defense_evasion, attack.t1553.004","product: linux, service: None",,['Legitimate administration activities'],,"{'selection': {'Image|endswith': ['/update-ca-certificates', '/update-ca-trust']}, 'condition': 'selection'}","Image IN (""*/update-ca-certificates"", ""*/update-ca-trust"")"
proc_creation_lnx_services_stop_and_disable.yml,Disable Or Stop Services,de25eeb8-3655-4643-ac3a-b662d3f26b6b,"Detects the usage of utilities such as 'systemctl', 'service'...etc to stop or disable tools and services",禁用或停止服务,检测诸如“ SystemCtl”，“ Service”等公用事业的使用情况，以停止或禁用工具和服务,medium,https://www.trendmicro.com/pl_pl/research/20/i/the-evolution-of-malicious-shell-scripts.html,attack.defense_evasion,"product: linux, service: None",,['Legitimate administration activities'],,"{'selection': {'Image|endswith': ['/service', '/systemctl', '/chkconfig'], 'CommandLine|contains': ['stop', 'disable']}, 'condition': 'selection'}","Image IN (""*/service"", ""*/systemctl"", ""*/chkconfig"") CommandLine IN (""*stop*"", ""*disable*"")"
proc_creation_lnx_susp_hktl_execution.yml,Linux HackTool Execution,a015e032-146d-4717-8944-7a1884122111,Detects known hacktool execution based on image name.,Linux HackTool执行,根据图像名称检测已知的hackTool执行。,high,"https://github.com/Gui774ume/ebpfkit, https://github.com/pathtofile/bad-bpf, https://github.com/carlospolop/PEASS-ng, https://github.com/t3l3machus/hoaxshell, https://github.com/t3l3machus/Villain, https://github.com/HavocFramework/Havoc, https://github.com/1N3/Sn1per, https://github.com/Ne0nd0g/merlin, https://github.com/Pennyw0rth/NetExec/","attack.execution, attack.resource_development, attack.t1587","product: linux, service: None",,['Unlikely'],,"{'selection_c2_frameworks': {'Image|endswith': ['/crackmapexec', '/havoc', '/merlin-agent', '/merlinServer-Linux-x64', '/msfconsole', '/msfvenom', '/ps-empire server', '/ps-empire', '/sliver-client', '/sliver-server', '/Villain.py']}, 'selection_c2_framework_cobaltstrike': {'Image|contains': ['/cobaltstrike', '/teamserver']}, 'selection_scanners': {'Image|endswith': ['/autorecon', '/httpx', '/legion', '/naabu', '/netdiscover', '/nmap', '/nuclei', '/recon-ng', '/zenmap']}, 'selection_scanners_sniper': {'Image|contains': '/sniper'}, 'selection_web_enum': {'Image|endswith': ['/dirb', '/dirbuster', '/eyewitness', '/feroxbuster', '/ffuf', '/gobuster', '/wfuzz', '/whatweb']}, 'selection_web_vuln': {'Image|endswith': ['/joomscan', '/nikto', '/wpscan']}, 'selection_exploit_tools': {'Image|endswith': ['/aircrack-ng', '/bloodhound-python', '/bpfdos', '/ebpfki', '/evil-winrm', '/hashcat', '/hoaxshell.py', '/hydra', '/john', '/ncrack', '/nxc-ubuntu-latest', '/pidhide', '/pspy32', '/pspy32s', '/pspy64', '/pspy64s', '/setoolkit', '/sqlmap', '/writeblocker']}, 'selection_linpeas': {'Image|contains': '/linpeas'}, 'condition': '1 of selection_*'}","Image IN (""*/crackmapexec"", ""*/havoc"", ""*/merlin-agent"", ""*/merlinServer-Linux-x64"", ""*/msfconsole"", ""*/msfvenom"", ""*/ps-empire server"", ""*/ps-empire"", ""*/sliver-client"", ""*/sliver-server"", ""*/Villain.py"") OR Image IN (""*/cobaltstrike*"", ""*/teamserver*"") OR Image IN (""*/autorecon"", ""*/httpx"", ""*/legion"", ""*/naabu"", ""*/netdiscover"", ""*/nmap"", ""*/nuclei"", ""*/recon-ng"", ""*/zenmap"") OR Image=""*/sniper*"" OR Image IN (""*/dirb"", ""*/dirbuster"", ""*/eyewitness"", ""*/feroxbuster"", ""*/ffuf"", ""*/gobuster"", ""*/wfuzz"", ""*/whatweb"") OR Image IN (""*/joomscan"", ""*/nikto"", ""*/wpscan"") OR Image IN (""*/aircrack-ng"", ""*/bloodhound-python"", ""*/bpfdos"", ""*/ebpfki"", ""*/evil-winrm"", ""*/hashcat"", ""*/hoaxshell.py"", ""*/hydra"", ""*/john"", ""*/ncrack"", ""*/nxc-ubuntu-latest"", ""*/pidhide"", ""*/pspy32"", ""*/pspy32s"", ""*/pspy64"", ""*/pspy64s"", ""*/setoolkit"", ""*/sqlmap"", ""*/writeblocker"") OR Image=""*/linpeas*"""
proc_creation_lnx_netcat_reverse_shell.yml,Potential Netcat Reverse Shell Execution,7f734ed0-4f47-46c0-837f-6ee62505abd9,"Detects execution of netcat with the ""-e"" flag followed by common shells. This could be a sign of a potential reverse shell setup.",潜在的NetCat反向外壳执行,用“ -e”标志检测NETCAT的执行，然后是常见的外壳。这可能是潜在反向外壳设置的迹象。,high,"https://pentestmonkey.net/cheat-sheet/shells/reverse-shell-cheat-sheet, https://www.revshells.com/, https://www.hackingtutorials.org/networking/hacking-netcat-part-2-bind-reverse-shells/, https://www.infosecademy.com/netcat-reverse-shells/, https://man7.org/linux/man-pages/man1/ncat.1.html","attack.execution, attack.t1059","product: linux, service: None",,['Unlikely'],,"{'selection_nc': {'Image|endswith': ['/nc', '/ncat']}, 'selection_flags': {'CommandLine|contains': [' -c ', ' -e ']}, 'selection_shell': {'CommandLine|contains': [' ash', ' bash', ' bsh', ' csh', ' ksh', ' pdksh', ' sh', ' tcsh', '/bin/ash', '/bin/bash', '/bin/bsh', '/bin/csh', '/bin/ksh', '/bin/pdksh', '/bin/sh', '/bin/tcsh', '/bin/zsh', '$IFSash', '$IFSbash', '$IFSbsh', '$IFScsh', '$IFSksh', '$IFSpdksh', '$IFSsh', '$IFStcsh', '$IFSzsh']}, 'condition': 'all of selection_*'}","Image IN (""*/nc"", ""*/ncat"") CommandLine IN (""* -c *"", ""* -e *"") CommandLine IN (""* ash*"", ""* bash*"", ""* bsh*"", ""* csh*"", ""* ksh*"", ""* pdksh*"", ""* sh*"", ""* tcsh*"", ""*/bin/ash*"", ""*/bin/bash*"", ""*/bin/bsh*"", ""*/bin/csh*"", ""*/bin/ksh*"", ""*/bin/pdksh*"", ""*/bin/sh*"", ""*/bin/tcsh*"", ""*/bin/zsh*"", ""*$IFSash*"", ""*$IFSbash*"", ""*$IFSbsh*"", ""*$IFScsh*"", ""*$IFSksh*"", ""*$IFSpdksh*"", ""*$IFSsh*"", ""*$IFStcsh*"", ""*$IFSzsh*"")"
proc_creation_lnx_base64_shebang_cli.yml,Linux Base64 Encoded Shebang In CLI,fe2f9663-41cb-47e2-b954-8a228f3b9dff,"Detects the presence of a base64 version of the shebang in the commandline, which could indicate a malicious payload about to be decoded",Linux Base64编码CLI中的Shebang,检测命令行中Shebang的基本64版本的存在，这可能表明即将被解码的恶意有效载荷,medium,"https://www.trendmicro.com/pl_pl/research/20/i/the-evolution-of-malicious-shell-scripts.html, https://github.com/carlospolop/PEASS-ng/tree/master/linPEAS","attack.defense_evasion, attack.t1140","product: linux, service: None",,['Legitimate administration activities'],,"{'selection': {'CommandLine|contains': ['IyEvYmluL2Jhc2', 'IyEvYmluL2Rhc2', 'IyEvYmluL3pza', 'IyEvYmluL2Zpc2', 'IyEvYmluL3No']}, 'condition': 'selection'}","CommandLine IN (""*IyEvYmluL2Jhc2*"", ""*IyEvYmluL2Rhc2*"", ""*IyEvYmluL3pza*"", ""*IyEvYmluL2Zpc2*"", ""*IyEvYmluL3No*"")"
proc_creation_lnx_file_and_directory_discovery.yml,File and Directory Discovery - Linux,d3feb4ee-ff1d-4d3d-bd10-5b28a238cc72,Detects usage of system utilities to discover files and directories,文件和目录发现-Linux,检测系统实用程序的使用来发现文件和目录,informational,['https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1083/T1083.md'],"['attack.discovery', 'attack.t1083']","{'category': 'process_creation', 'product': 'linux'}",,['Legitimate activities'],ORing regular expressions is not yet supported by Splunk backend,"{'select_file_with_asterisk': {'Image|endswith': '/file', 'CommandLine|re': '(.){200,}'}, 'select_recursive_ls': {'Image|endswith': '/ls', 'CommandLine|contains': '-R'}, 'select_find_execution': {'Image|endswith': '/find'}, 'select_tree_execution': {'Image|endswith': '/tree'}, 'condition': '1 of select*'}",To Do
proc_creation_lnx_gtfobin_apt.yml,Apt GTFOBin Abuse - Linux,bb382fd5-b454-47ea-a264-1828e4c766d6,"Detects usage of ""apt"" and ""apt-get"" as a GTFOBin to execute and proxy command and binary execution",APT GTFOBIN滥用-Linux,检测使用“ APT”和“ APT-GEG”作为GTFOBIN的用法执行和代理命令和二进制执行,medium,"https://gtfobins.github.io/gtfobins/apt/, https://gtfobins.github.io/gtfobins/apt-get/","attack.discovery, attack.t1083","product: linux, service: None",,['Unknown'],,"{'selection': {'Image|endswith': ['/apt', '/apt-get'], 'CommandLine|contains': 'APT::Update::Pre-Invoke::='}, 'condition': 'selection'}","Image IN (""*/apt"", ""*/apt-get"") CommandLine=""*APT::Update::Pre-Invoke::=*"""
proc_creation_lnx_remote_access_tools_teamviewer_incoming_connection.yml,Remote Access Tool - Team Viewer Session Started On Linux Host,1f6b8cd4-3e60-47cc-b282-5aa1cbc9182d,"Detects the command line executed when TeamViewer starts a session started by a remote host.
Once a connection has been started, an investigator can verify the connection details by viewing the ""incoming_connections.txt"" log file in the TeamViewer folder.
",远程访问工具 - 团队查看器会话在Linux主机上启动,"检测由远程主机启动的TeamViewer启动会话时执行的命令行。
连接启动后，研究者可以通过查看TeamViewer文件夹中的“ incomming_connect.txt”日志文件来验证连接详细信息。",low,Internal Research,"attack.initial_access, attack.t1133","product: linux, service: None",,['Legitimate usage of TeamViewer'],,"{'selection': {'ParentImage|endswith': '/TeamViewer_Service', 'Image|endswith': '/TeamViewer_Desktop', 'CommandLine|endswith': '/TeamViewer_Desktop --IPCport 5939 --Module 1'}, 'condition': 'selection'}","ParentImage=""*/TeamViewer_Service"" Image=""*/TeamViewer_Desktop"" CommandLine=""*/TeamViewer_Desktop --IPCport 5939 --Module 1"""
